Path,Emotions,Dataset,Audio_Length
data/raw/Crema/1001_DFA_ANG_XX.wav,angry,CREMA,2.2755625
data/raw/Crema/1001_DFA_DIS_XX.wav,disgust,CREMA,2.3356875
data/raw/Crema/1001_DFA_FEA_XX.wav,fear,CREMA,2.1688125
data/raw/Crema/1001_DFA_HAP_XX.wav,happy,CREMA,1.8685
data/raw/Crema/1001_DFA_NEU_XX.wav,neutral,CREMA,2.035375
data/raw/Crema/1001_DFA_SAD_XX.wav,sad,CREMA,2.002
data/raw/Crema/1001_IEO_ANG_HI.wav,angry,CREMA,1.93525
data/raw/Crema/1001_IEO_ANG_LO.wav,angry,CREMA,2.06875
data/raw/Crema/1001_IEO_ANG_MD.wav,angry,CREMA,2.6359375
data/raw/Crema/1001_IEO_DIS_HI.wav,disgust,CREMA,2.002
data/raw/Crema/1001_IEO_DIS_LO.wav,disgust,CREMA,2.002
data/raw/Crema/1001_IEO_DIS_MD.wav,disgust,CREMA,1.901875
data/raw/Crema/1001_IEO_FEA_HI.wav,fear,CREMA,1.56825
data/raw/Crema/1001_IEO_FEA_LO.wav,fear,CREMA,1.534875
data/raw/Crema/1001_IEO_FEA_MD.wav,fear,CREMA,1.601625
data/raw/Crema/1001_IEO_HAP_HI.wav,happy,CREMA,1.7684375
data/raw/Crema/1001_IEO_HAP_LO.wav,happy,CREMA,1.7016875
data/raw/Crema/1001_IEO_HAP_MD.wav,happy,CREMA,1.6683125
data/raw/Crema/1001_IEO_NEU_XX.wav,neutral,CREMA,1.601625
data/raw/Crema/1001_IEO_SAD_HI.wav,sad,CREMA,2.002
data/raw/Crema/1001_IEO_SAD_LO.wav,sad,CREMA,1.901875
data/raw/Crema/1001_IEO_SAD_MD.wav,sad,CREMA,1.7350625
data/raw/Crema/1001_IOM_ANG_XX.wav,angry,CREMA,2.1354375
data/raw/Crema/1001_IOM_DIS_XX.wav,disgust,CREMA,2.2689375
data/raw/Crema/1001_IOM_FEA_XX.wav,fear,CREMA,2.8361875
data/raw/Crema/1001_IOM_HAP_XX.wav,happy,CREMA,2.002
data/raw/Crema/1001_IOM_NEU_XX.wav,neutral,CREMA,2.469125
data/raw/Crema/1001_IOM_SAD_XX.wav,sad,CREMA,1.93525
data/raw/Crema/1001_ITH_ANG_XX.wav,angry,CREMA,2.369
data/raw/Crema/1001_ITH_DIS_XX.wav,disgust,CREMA,2.1688125
data/raw/Crema/1001_ITH_FEA_XX.wav,fear,CREMA,2.102125
data/raw/Crema/1001_ITH_HAP_XX.wav,happy,CREMA,2.469125
data/raw/Crema/1001_ITH_NEU_XX.wav,neutral,CREMA,2.602625
data/raw/Crema/1001_ITH_SAD_XX.wav,sad,CREMA,2.369
data/raw/Crema/1001_ITS_ANG_XX.wav,angry,CREMA,2.56925
data/raw/Crema/1001_ITS_DIS_XX.wav,disgust,CREMA,2.2021875
data/raw/Crema/1001_ITS_FEA_XX.wav,fear,CREMA,2.1354375
data/raw/Crema/1001_ITS_HAP_XX.wav,happy,CREMA,2.2021875
data/raw/Crema/1001_ITS_NEU_XX.wav,neutral,CREMA,2.43575
data/raw/Crema/1001_ITS_SAD_XX.wav,sad,CREMA,2.6693125
data/raw/Crema/1001_IWL_ANG_XX.wav,angry,CREMA,3.1698125
data/raw/Crema/1001_IWL_DIS_XX.wav,disgust,CREMA,2.56925
data/raw/Crema/1001_IWL_FEA_XX.wav,fear,CREMA,2.369
data/raw/Crema/1001_IWL_HAP_XX.wav,happy,CREMA,2.102125
data/raw/Crema/1001_IWL_NEU_XX.wav,neutral,CREMA,2.8361875
data/raw/Crema/1001_IWL_SAD_XX.wav,sad,CREMA,2.8361875
data/raw/Crema/1001_IWW_ANG_XX.wav,angry,CREMA,2.2755625
data/raw/Crema/1001_IWW_DIS_XX.wav,disgust,CREMA,2.06875
data/raw/Crema/1001_IWW_FEA_XX.wav,fear,CREMA,2.2021875
data/raw/Crema/1001_IWW_HAP_XX.wav,happy,CREMA,1.968625
data/raw/Crema/1001_IWW_NEU_XX.wav,neutral,CREMA,2.2689375
data/raw/Crema/1001_IWW_SAD_XX.wav,sad,CREMA,2.035375
data/raw/Crema/1001_MTI_ANG_XX.wav,angry,CREMA,3.003
data/raw/Crema/1001_MTI_DIS_XX.wav,disgust,CREMA,2.93625
data/raw/Crema/1001_MTI_FEA_XX.wav,fear,CREMA,2.369
data/raw/Crema/1001_MTI_HAP_XX.wav,happy,CREMA,2.369
data/raw/Crema/1001_MTI_NEU_XX.wav,neutral,CREMA,2.3023125
data/raw/Crema/1001_MTI_SAD_XX.wav,sad,CREMA,2.3023125
